No.,Object Name,RA,DEC,Type,Velocity,Redshift,Redshift Flag,Magnitude and Filter,Separation,References,Notes,Photometry Points,Positions,Redshift Points,Diameter Points,Associations
142,WISEA J220007.56-595719.3,330.03154,-59.95538,G,33499.0,0.11174,PUN,18.25,13.111,2,0,28,5,1,2,0
196,WISEA J220012.42-595336.6,330.05176,-59.89351,G,29016.0,0.096786,PUN,18.76,13.224,1,0,28,5,1,2,0
576,WISEA J220037.71-595449.8,330.15713,-59.91385,G,31259.0,0.104269,SUN,17.83,9.829,4,0,29,6,2,2,0
617,WISEA J220040.43-595152.6,330.16846,-59.86462,G,30647.0,0.102227,PUN,17.64,10.839,2,0,32,6,1,2,0
718,2MASX J22004627-5945002,330.19256,-59.75019,G,36003.0,0.120093,PUN,,15.341,2,0,19,4,1,2,0
813,WISEA J220051.44-595312.4,330.21436,-59.88679,G,43556.0,0.145287,PUN,17.64,8.955,2,0,31,6,1,2,0
814,WISEA J220051.45-595651.3,330.21441,-59.94759,G,29946.0,0.099889,SUN,17.98,7.68,4,0,29,6,2,2,0
817,WISEA J220051.56-595930.0,330.21487,-59.99168,G,30322.0,0.101142,PUN,18.17,7.749,2,0,32,6,1,2,0
899,WISEA J220056.37-600926.5,330.23488,-60.15738,G,30257.0,0.100926,SUN,16.7r,13.464,3,0,24,5,1,0,0
1055,WISEA J220103.86-595110.8,330.2661,-59.853,G,29076.0,0.096987,SUN,17.76,9.066,5,0,29,6,2,2,0
1067,WISEA J220104.40-601123.2,330.26835,-60.18979,G,33791.0,0.112714,PUN,,14.726,1,0,31,5,1,2,0
1182,WISEA J220109.11-595919.4,330.28796,-59.98874,G,31693.0,0.105718,PUN,18.42,5.572,2,0,28,5,1,2,0
1290,WISEA J220114.70-600926.3,330.31128,-60.15731,G,27099.0,0.090391,PUN,18.31,12.431,1,0,28,5,1,2,0
1317,WISEA J220116.61-595756.3,330.31925,-59.96564,G,28006.0,0.093418,SUN,18.07,4.455,3,0,29,5,1,2,0
1327,WISEA J220116.91-601231.7,330.32048,-60.20881,G,34600.0,0.115414,PUN,18.24,15.255,2,0,28,5,1,2,0
1437,WISEA J220123.14-595324.1,330.34643,-59.89005,G,31518.0,0.105134,PUN,18.39,5.805,3,0,28,6,1,2,0
1451,WISEA J220123.78-600017.8,330.34912,-60.00495,G,30069.0,0.1003,PUN,18.12,4.275,4,0,45,8,2,3,0
1481,WISEA J220125.01-595847.9,330.35422,-59.97997,IrS,27572.0,0.09197,PUN,,3.515,1,0,36,5,2,0,0
1614,WISEA J220131.25-594957.1,330.38024,-59.83255,G,32593.0,0.108718,PUN,18.49,8.392,1,0,28,5,1,2,0
1664,WISEA J220133.47-600941.7,330.38948,-60.16159,G,21399.0,0.071379,PUN,17.50,12.003,2,0,31,6,1,2,0
1732,WISEA J220136.46-600851.8,330.40194,-60.14775,G,26404.0,0.088073,PUN,17.92,11.118,1,0,28,5,1,2,0
1792,WISEA J220139.44-595019.3,330.41434,-59.8387,G,25981.0,0.086664,PUN,18.12,7.767,2,0,28,5,1,2,0
1802,WISEA J220139.94-600334.7,330.41643,-60.05967,G,37450.0,0.124921,PUN,,5.862,1,0,27,4,1,2,0
1865,WISEA J220142.42-595704.3,330.42678,-59.95121,G,29403.0,0.098078,SUN,17.80,1.491,5,0,46,7,3,2,0
1885,WISEA J220143.22-595546.4,330.43009,-59.92956,G,32359.0,0.107938,SUN,18.30,2.426,3,0,35,5,1,2,0
1907,WISEA J220143.96-600319.5,330.43319,-60.05543,G,40572.0,0.135335,PUN,19.02,5.501,1,0,28,5,1,2,0
1964,PSZ-SN3 J2201-5953,330.4419,-59.89694,GClstr,27731.0,0.0925,SST,,4.178,1,0,0,1,1,0,0
