No.,Object Name,RA,DEC,Type,Velocity,Redshift,Redshift Flag,Magnitude and Filter,Separation,References,Notes,Photometry Points,Positions,Redshift Points,Diameter Points,Associations
2514,SMACS J0723-7327:[CSM2022] 12,110.84046,-73.4533,*,0.0,0.0,SLS,,0.858,1,0,0,1,1,0,0
2517,SMACS J0723:[NDA2023] 00367,110.84062,-73.47171,G,635020.0,2.1182,SLS,,1.952,1,0,0,1,1,0,0
2518,SMACS J0723-7327:[ICR2022] 423,110.84067,-73.44151,IrS,923571.0,3.0807,S1L,,0.214,2,0,0,2,2,0,0
2519,SMACS J0723:[NDA2023] 01246,110.84071,-73.44072,G,115810.0,0.3863,SLS,,0.188,1,0,0,1,1,0,0
2524,SMACS J0723-73:[PFD2022a] GL.1,110.84076,-73.46169,G_Lens,392728.0,1.31,MLE,,1.354,2,0,0,2,1,0,0
2525,[CSM2022] 01.1,110.84079,-73.45118,G_Lens,432750.0,1.4435,S1L,,0.732,9,0,0,10,11,0,0
2529,The Sparkler Galaxy,110.84083,-73.45519,G,413114.0,1.378,SUN,,0.968,10,0,0,10,10,0,0
2535,SMACS J0723-7327:[ICR2022] 430,110.8413,-73.44034,IrS,794450.0,2.65,PSE,,0.17,1,0,0,1,1,0,0
2536,SMACS J0723-7327:[ICR2022] 414,110.84133,-73.44226,IrS,524637.0,1.75,PSE,,0.237,1,0,0,1,1,0,0
2542,SMACS J0723-7327:[ICR2022] 066,110.84201,-73.46631,IrS,89938.0,0.3,PSE,,1.628,1,0,0,1,1,0,0
2543,SMACS J0723-7327:[CSM2022] 48,110.84205,-73.4568,G,126902.0,0.4233,SLS,,1.06,4,0,0,4,4,0,0
2544,SMACS J0723-7327:[SCB2020]0519,110.84207,-73.448,G,1762780.0,5.88,PUN,,0.542,2,0,0,2,2,0,0
2548,SMACS J0723:[NDA2023] 01100,110.84254,-73.47234,G,593799.0,1.9807,S1L,,1.987,1,0,0,1,1,0,0
2549,SMACS J0723-7327:[ICR2022] 382,110.84263,-73.44411,IrS,1828734.0,6.1,PSE,,0.319,1,0,0,1,1,0,0
2551,SMACS J0723-7327:[ICR2022] 137,110.84276,-73.46252,IrS,179876.0,0.6,PSE,,1.4,1,0,0,1,1,0,0
2552,SMACS J0723-7327:[ICR2022] 263,110.84285,-73.45416,IrS,449689.0,1.5,PSE,,0.901,1,0,0,1,1,0,0
2554,[CSM2022] 01.2,110.84295,-73.45472,G_Lens,434759.0,1.4502,S1L,,0.935,9,0,0,10,9,0,0
2555,SMACS J0723-7327:[ICR2022] 126,110.84296,-73.46344,IrS,89938.0,0.3,PSE,,1.455,1,0,0,1,1,0,0
2557,SMACS J0723-7327:[ICR2022] 325,110.843,-73.44884,IrS,464678.0,1.55,PSE,,0.587,1,0,0,1,1,0,0
2558,SMACS J0723-7327:[ICR2022] 327,110.84318,-73.44916,IrS,494658.0,1.65,PSE,,0.605,1,0,0,1,1,0,0
2559,WISEA J072322.40-732741.9,110.84337,-73.46167,IrS,494658.0,1.65,PSE,,1.348,1,0,12,2,1,0,0
2560,SMACS J0723-73:[PFD2022a] GL.2,110.84338,-73.46145,G_Lens,446691.0,1.49,PUN,,1.335,2,0,0,2,1,0,0
2561,SMACS J0723:[NDA2023] 00801,110.84347,-73.44903,G,450078.0,1.5013,S1L,,0.596,1,0,0,1,1,0,0
2562,SMACS J0723-73:[PFD2022a] GL.3,110.84352,-73.46167,G_Lens,446691.0,1.49,PUN,,1.347,2,0,0,2,1,0,0
2563,SMACS J0723-7327:[ICR2022] 059,110.84353,-73.46732,IrS,104927.0,0.35,PSE,,1.686,1,0,0,1,1,0,0
2566,SMACS J0723-7327:[ICR2022] 383,110.84407,-73.44423,IrS,410896.0,1.3706,SLS,,0.316,2,0,0,2,3,0,0
2567,SMACS J0723-7327:[ICR2022] 107,110.84417,-73.46392,IrS,59958.0,0.2,PSE,,1.482,1,0,0,1,1,0,0
2569,[LZD2022] PC 6,110.84462,-73.43506,G_Lens,2297610.0,7.664,SLS,,0.274,17,0,0,18,34,0,0
2570,SMACS J0723-7327:[ICR2022] 223,110.84463,-73.4566,IrS,89938.0,0.3,PSE,,1.043,1,0,0,1,1,0,0
2571,[HOO2023] F150DB-082,110.84479,-73.44044,G,4152126.0,13.85,PUN,,0.12,2,0,0,3,4,0,0
2573,[HOO2023] F200DB-045,110.84488,-73.46103,G,119917.0,0.4,PUN,,1.307,2,0,0,2,3,0,0
2574,SMACS J0723-7327:[CSM2022] 14,110.84502,-73.45537,*,0.0,0.0,SLS,,0.969,1,0,0,1,1,0,0
2578,WISEA J072322.92-732705.5,110.8455,-73.45155,IrS,115960.0,0.3868,SLS,,0.74,4,0,12,5,5,0,0
2580,SMACS J0723-7327:[ICR2022] 056,110.84557,-73.46676,IrS,314782.0,1.05,PSE,,1.65,1,0,0,1,1,0,0
2582,SMACS J0723:[CAR2023] I03,110.84562,-73.43715,G_Lens,1113729.0,3.715,SUN,,0.154,2,0,0,2,2,0,0
2583,[LZD2022] PC 3,110.84591,-73.436,G,2326390.0,7.76,PSE,,0.213,1,0,0,1,1,0,0
