No.,Object Name,RA,DEC,Type,Velocity,Redshift,Redshift Flag,Magnitude and Filter,Separation,References,Notes,Photometry Points,Positions,Redshift Points,Diameter Points,Associations
107,WISEA J084046.03-172856.0,130.19182,-17.48223,G,18063.0,0.060251,PUN,,14.783,2,0,30,5,1,2,0
1987,ABELL 3411:[GDW2019] 001,130.40246,-17.44138,G,108680.0,0.362519,SUN,,3.999,1,0,0,1,1,0,0
1994,WISEA J084136.75-172631.4,130.40315,-17.44207,IrS,108694.0,0.362563,SUN,,3.942,1,0,12,2,1,0,0
2038,WISEA J084137.64-172542.3,130.40686,-17.42842,IrS,108322.0,0.361324,SUN,,4.455,1,0,12,2,1,0,0
2069,WISEA J084138.38-172908.4,130.40994,-17.48568,IrS,46365.0,0.154657,SUN,,2.31,1,0,12,2,1,0,0
2073,ABELL 3411:[GDW2019] 004,130.41003,-17.44509,G,81117.0,0.270576,SUN,,3.545,1,0,0,1,1,0,0
2080,WISEA J084138.50-172809.4,130.41044,-17.46928,G,44680.0,0.149038,PUN,,2.59,1,0,27,4,1,2,0
2155,WISEA J084140.14-173023.1,130.41726,-17.50644,IrS,64547.0,0.215307,SUN,,2.112,1,0,18,3,1,0,0
2167,WISEA J084140.50-172602.0,130.41878,-17.43389,IrS,224620.0,0.74925,SUN,,3.823,1,0,12,2,1,0,0
2185,WISEA J084140.79-172921.1,130.41997,-17.4892,IrS,140554.0,0.468838,SUN,,1.721,1,0,12,2,1,0,0
2207,ABELL 3411:[GDW2019] 009,130.42192,-17.47723,G,48450.0,0.161612,SUN,,1.787,1,0,0,1,1,0,0
2209,ABELL 3411:[GDW2019] 010,130.42197,-17.44873,G,49171.0,0.164016,SUN,,2.962,1,0,0,1,1,0,0
2215,ABELL 3411:[GDW2019] 011,130.42231,-17.48838,G,117432.0,0.391712,SUN,,1.589,1,0,0,1,1,0,0
2224,WISEA J084141.60-173101.9,130.42336,-17.51722,IrS,47716.0,0.159163,SUN,,2.226,1,0,12,2,1,0,0
2230,ABELL 3411:[GDW2019] 013,130.42382,-17.43491,G,107998.0,0.360242,SUN,,3.641,1,0,0,1,1,0,0
2239,WISEA J084141.85-172703.9,130.42438,-17.45109,IrS,49941.0,0.166585,SUN,,2.768,1,0,12,2,1,0,0
2252,WISEA J084142.27-172743.6,130.42613,-17.46213,IrS,47976.0,0.160031,SUN,,2.17,1,0,12,2,1,0,0
2272,WISEA J084142.60-173037.4,130.42754,-17.51039,IrS,55862.0,0.186336,SUN,,1.766,1,0,12,2,1,0,0
2278,ABELL 3411:[GDW2019] 017,130.42835,-17.43847,G,48665.0,0.162329,SUN,,3.343,1,0,0,1,1,0,0
2290,WISEA J084143.10-172803.1,130.42962,-17.46754,IrS,46281.0,0.154377,SUN,,1.793,1,0,12,2,1,0,0
2292,WISEA J084143.12-173056.9,130.42969,-17.51582,IrS,49485.0,0.165063,SUN,,1.927,1,0,12,2,1,0,0
2305,WISEA J084143.28-172916.5,130.43037,-17.48792,IrS,50114.0,0.167162,SUN,,1.133,1,0,12,2,1,0,0
2338,WISEA J084143.84-172413.1,130.43269,-17.40365,IrS,47047.0,0.156931,SUN,,5.288,1,0,12,2,1,0,0
2352,ABELL 3411:[GDW2019] 022,130.43373,-17.50386,G,49294.0,0.164427,SUN,,1.241,1,0,0,1,1,0,0
2363,WISEA J084144.23-172801.6,130.43432,-17.46712,IrS,236341.0,0.78835,SUN,,1.651,1,0,12,2,1,0,0
2370,WISEA J084144.42-172656.6,130.43509,-17.44907,UvS,77713.0,0.259224,SUN,,2.612,1,0,16,3,1,0,0
2373,WISEA J084144.46-172432.7,130.43526,-17.40911,IrS,48702.0,0.162454,SUN,,4.939,1,0,12,2,1,0,0
2392,WISEA J084144.75-172722.5,130.43649,-17.45627,IrS,50007.0,0.166804,SUN,,2.178,1,0,12,2,1,0,0
2395,ABELL 3411:[GDW2019] 027,130.43683,-17.40994,G,266090.0,0.88758,SUN,,4.875,1,0,0,1,1,0,0
2405,WISEA J084144.93-172733.0,130.43723,-17.45919,IrS,48089.0,0.160407,SUN,,2.0,1,0,12,2,1,0,0
2409,WISEA J084144.94-173006.7,130.43727,-17.50187,IrS,46608.0,0.155467,SUN,,1.01,1,0,18,3,1,0,0
2412,ABELL 3411:[GDW2019] 030,130.43762,-17.46283,G,50584.0,0.16873,SUN,,1.79,1,0,0,1,1,0,0
2415,WISEA J084145.04-172703.2,130.43769,-17.45089,IrS,49405.0,0.164798,SUN,,2.462,1,0,18,3,1,0,0
2442,WISEA J084145.44-172447.5,130.43937,-17.4132,IrS,49236.0,0.164232,SUN,,4.661,1,0,12,2,1,0,0
2445,WISEA J084145.48-173149.6,130.43954,-17.53046,IrS,48614.0,0.16216,SUN,,2.488,1,0,12,2,1,0,0
2453,ABELL 3411:[GDW2019] 034,130.44098,-17.44682,G,55376.0,0.184716,SUN,,2.654,1,0,0,1,1,0,0
2458,WISEA J084145.87-172712.4,130.44114,-17.45345,IrS,49313.0,0.164489,SUN,,2.264,1,0,12,2,1,0,0
2461,WISEA J084145.92-172627.5,130.44136,-17.441,IrS,50012.0,0.166823,SUN,,2.994,1,0,12,2,1,0,0
2462,WISEA J084145.93-172811.9,130.44141,-17.46998,IrS,50297.0,0.167772,SUN,,1.31,1,0,12,2,1,0,0
2467,ABELL 3411:[GDW2019] 038,130.44156,-17.39972,G,47429.0,0.158207,SUN,,5.451,1,0,0,1,1,0,0
2470,WISEA J084146.07-172338.2,130.44196,-17.39396,IrS,49474.0,0.165026,SUN,,5.794,1,0,18,3,1,0,0
2471,WISEA J084146.08-172544.5,130.44202,-17.42903,IrS,48373.0,0.161356,SUN,,3.699,1,0,12,2,1,0,0
2476,WISEA J084146.12-172803.7,130.4422,-17.4677,IrS,51063.0,0.170327,SUN,,1.423,1,0,12,2,1,0,0
2478,WISEA J084146.14-172934.7,130.44228,-17.49298,IrS,46111.0,0.15381,SUN,,0.473,1,0,18,3,1,0,0
2479,WISEA J084146.15-173347.1,130.44231,-17.56311,IrS,48774.0,0.162691,SUN,,4.396,1,0,12,2,1,0,0
2522,ABELL 3411:[GDW2019] 044,130.44553,-17.48782,G,49193.0,0.16409,SUN,,0.294,1,0,0,1,1,0,0
2532,ABELL 3411:[GDW2019] 045,130.44632,-17.44594,G,48221.0,0.160848,SUN,,2.665,1,0,0,1,1,0,0
2540,WISEA J084147.21-172301.5,130.44672,-17.38375,IrS,108412.0,0.361624,SUN,,6.391,1,0,12,2,1,0,0
2553,WISEA J084147.49-173054.9,130.4479,-17.51526,UvS,118527.0,0.395363,SUN,,1.507,1,0,16,3,1,0,0
2571,WISEA J084147.83-172932.3,130.44929,-17.49231,IrS,159284.0,0.531313,SUN,,0.133,1,0,12,2,1,0,0
2574,ABELL 3411:[GDW2019] 049,130.44955,-17.51089,G,46823.0,0.156185,SUN,,1.241,1,0,0,1,1,0,0
2575,ABELL 3411:[GDW2019] 050,130.44957,-17.54623,G,139686.0,0.465943,SUN,,3.361,1,0,0,1,1,0,0
2577,ABELL 3411:[GDW2019] 051,130.44964,-17.48551,G,49440.0,0.164915,SUN,,0.283,1,0,0,1,1,0,0
