No.,Object Name,RA,DEC,Type,Velocity,Redshift,Redshift Flag,Magnitude and Filter,Separation,References,Notes,Photometry Points,Positions,Redshift Points,Diameter Points,Associations
221,WISEA J134635.92-324949.2,206.6497,-32.83034,G,11308.0,0.037719,UUN,15.4I,11.776,6,0,27,4,2,2,0
348,WISEA J134641.92-324449.7,206.6747,-32.74715,G,10632.0,0.035465,UUN,,12.597,2,0,18,3,1,0,0
359,WISEA J134642.18-325830.1,206.67566,-32.97557,G,10700.0,0.035691,UUN,14.1I,12.106,8,0,27,4,2,2,0
438,WISEA J134644.81-324117.6,206.68773,-32.68708,G,12341.0,0.041165,UUN,,14.522,2,0,32,5,1,0,0
510,WISEA J134648.07-330235.8,206.70029,-33.0433,G,12601.0,0.042032,UUN,16.4b,13.842,17,0,27,7,8,2,0
664,WISEA J134653.99-324815.3,206.72498,-32.80427,G,10979.0,0.036622,UUN,19.95,8.654,8,0,28,4,2,2,0
680,WISEA J134654.34-330251.2,206.72636,-33.04726,G,11690.0,0.038994,SUN,16.6b,13.22,8,0,27,5,4,2,0
707,WISEA J134655.44-324521.8,206.73102,-32.75606,G,10428.0,0.034784,UUN,15.7I,10.038,7,0,27,4,2,2,0
840,WISEA J134659.51-325228.6,206.74797,-32.87462,G,13641.0,0.045501,UUN,15.4I,6.615,6,0,27,4,2,2,0
959,WISEA J134703.18-324512.5,206.76327,-32.7535,G,13265.0,0.044247,UUN,14.8I,9.013,7,0,29,5,2,2,0
1046,WISEA J134706.30-324912.1,206.77626,-32.82005,G,12242.0,0.040835,UUN,15.3I,5.923,7,0,27,4,2,2,0
1068,WISEA J134707.00-330329.5,206.77918,-33.05822,G,11368.0,0.03792,UUN,,12.472,2,0,27,3,1,2,0
1077,WISEA J134707.34-324207.5,206.7804,-32.70242,G,13498.0,0.045024,UUN,,11.109,6,0,27,4,2,2,0
1120,WISEA J134708.48-325427.3,206.78535,-32.90761,G,12324.0,0.041108,UUN,15.76,5.284,8,0,27,4,3,2,0
1124,WISEA J134708.51-325127.2,206.78546,-32.85758,G,9303.0,0.031031,UUN,,4.755,3,0,18,3,1,0,0
1141,WISEA J134709.22-330228.6,206.78843,-33.0413,G,13458.0,0.044891,SUN,16.2b,11.355,7,0,27,4,2,2,0
1175,WISEA J134710.22-325735.3,206.79262,-32.95981,G,12114.0,0.040408,UUN,15.2I,7.021,7,0,27,4,2,2,0
1267,WISEA J134713.09-325421.1,206.80455,-32.90588,G,11040.0,0.036825,UUN,,4.387,4,0,18,3,1,0,0
1286,WISEA J134713.73-324553.8,206.80723,-32.76495,G,12276.0,0.040948,UUN,15.4I,7.163,6,0,27,4,2,2,0
1332,WISEA J134715.07-325125.7,206.81267,-32.85717,G,12082.0,0.040301,UUN,16.5b,3.405,7,0,27,4,3,2,0
1337,WISEA J134715.19-325253.9,206.8133,-32.88164,G,12118.0,0.040421,UUN,14.9I,3.411,8,0,27,4,4,2,0
1349,WISEA J134715.46-324859.5,206.81445,-32.81655,G,10793.0,0.036002,SUN,14.6I,4.484,12,0,27,6,5,2,0
1396,WISEA J134716.77-330225.4,206.8199,-33.0404,G,11533.0,0.03847,UUN,15.4I,10.765,6,0,27,4,2,2,0
1419,WISEA J134717.21-324330.8,206.82171,-32.72523,G,10656.0,0.035545,UUN,14.8I,9.039,6,0,27,4,2,2,0
1421,WISEA J134717.31-325140.0,206.82215,-32.86113,G,13570.0,0.045265,SUN,15.8I,2.894,4,0,18,3,1,0,0
1494,WISEA J134719.61-330613.1,206.83171,-33.10365,G,13205.0,0.044047,UUN,14.8I,14.34,6,0,27,4,2,2,0
1507,WISEA J134719.97-325537.1,206.83322,-32.92697,G,10823.0,0.036102,UUN,,4.225,4,0,27,4,2,2,0
1539,WISEA J134721.02-325533.4,206.83759,-32.92597,G,11801.0,0.039364,UUN,15.1I,4.057,6,0,27,4,2,2,0
1565,WISEA J134721.80-330331.1,206.84086,-33.05867,G,13104.0,0.04371,UUN,,11.602,4,0,27,4,2,2,0
1571,WISEA J134722.04-325352.6,206.84186,-32.89797,G,12090.0,0.040328,SUN,,2.596,2,0,18,3,1,0,0
1583,WISEA J134722.53-330547.3,206.84389,-33.09648,G,11674.0,0.03894,UUN,14.99,13.824,13,0,27,7,8,2,0
1617,WISEA J134723.41-324553.9,206.84756,-32.76499,G,12160.0,0.040561,UUN,14.2I,6.379,8,0,27,4,2,2,0
1650,2MFGC 11130,206.85136,-32.78081,G,12388.0,0.041322,UUN,16.3b,5.412,16,0,27,5,5,2,0
1692,WISEA J134725.34-325609.7,206.85559,-32.93603,G,11862.0,0.039567,UUN,15.78,4.251,11,0,46,7,3,4,0
1738,WISEA J134726.49-325743.9,206.86038,-32.9622,G,13464.0,0.044911,UUN,16.5b,5.731,14,0,27,5,5,2,0
1743,WISEA J134726.57-325633.7,206.86072,-32.9427,G,10235.0,0.03414,SUN,,4.578,3,0,18,3,1,0,0
1751,2MASS J13472676-3248583,206.86153,-32.81621,G,13368.0,0.044591,UUN,,3.228,0,0,6,2,1,0,0
1760,2MASS J13472699-3254088,206.86248,-32.90246,G,9320.0,0.031088,UUN,14.5I,2.23,3,0,6,2,1,0,0
1766,WISEA J134727.21-324909.7,206.86341,-32.81939,G,9641.0,0.03216,SUN,15.8b,3.019,15,0,28,6,5,2,0
1768,WISEA J134727.26-325450.8,206.86359,-32.91413,G,12271.0,0.040932,UUN,,2.876,2,0,18,3,1,0,0
1770,2MASS J13472730-3248574,206.86376,-32.81594,G,13562.0,0.045238,UUN,,3.215,2,0,5,2,1,0,0
1777,WISEA J134727.50-325216.2,206.86462,-32.87117,G,11079.0,0.036956,UUN,,0.749,3,0,18,3,1,0,0
1794,WISEA J134727.89-324944.0,206.86625,-32.82891,G,10523.0,0.035101,UUN,13.01,2.43,8,0,27,4,2,2,0
1799,WISEA J134727.99-325033.4,206.86666,-32.84263,G,9872.0,0.032929,UUN,,1.643,7,0,12,2,1,0,0
1822,ESO 383- G 076,206.86826,-32.865,G,11567.0,0.038583,SUN,13.01,0.57,65,3,56,13,15,17,0
1824,WISEA J134728.41-325930.5,206.86838,-32.99181,G,11348.0,0.037853,UUN,,7.45,4,0,27,4,2,2,0
1856,WISEA J134729.04-323811.8,206.87104,-32.63662,G,10043.0,0.0335,UUN,,13.887,5,0,29,5,2,2,0
1865,ABELL 3571,206.87192,-32.8604,GClstr,11700.0,0.039027,UUN,15.8J,0.578,252,4,14,31,40,0,0
1873,PSZ2 G316.31+28.53,206.8725,-32.8747,GClstr,11722.0,0.0391,SUN,,0.52,4,0,0,2,2,0,0
1883,2MASSCL J1347-3257,206.874,-32.956,GClstr,11692.0,0.039,UUN,,5.288,1,0,0,1,1,0,0
1891,WISEA J134730.00-325251.9,206.87504,-32.88109,G,10330.0,0.034457,UUN,,0.812,2,0,18,3,1,0,0
1895,LEDA 095953,206.87534,-32.91471,G,10975.0,0.036609,SUN,15.6I,2.811,7,0,7,2,2,0,0
1952,WISEA J134731.65-325206.7,206.88189,-32.86853,G,12787.0,0.042653,UUN,,0.15,5,0,18,3,1,0,0
1994,WISEA J134732.71-324641.6,206.88633,-32.77824,G,9930.0,0.033123,UUN,,5.397,4,0,27,4,2,2,0
2020,WISEA J134733.54-324302.7,206.88977,-32.71744,G,11583.0,0.038637,UUN,,9.048,2,0,27,3,1,2,0
2021,WISEA J134733.56-330012.0,206.88987,-33.00342,G,11664.0,0.038907,UUN,,8.146,1,0,27,3,1,2,0
2027,ESO 383- G 078,206.89044,-33.04249,G,9305.0,0.031038,UUN,16.15,10.487,14,1,20,4,5,14,0
