No.,Object Name,RA,DEC,Type,Velocity,Redshift,Redshift Flag,Magnitude and Filter,Separation,References,Notes,Photometry Points,Positions,Redshift Points,Diameter Points,Associations
2466,WISEA J115102.68-281140.1,177.76119,-28.19447,IrS,112266.0,0.374478,SUN,,7.261,1,0,12,2,1,0,0
2468,WISEA J115102.72-280806.9,177.76137,-28.13526,IrS,116608.0,0.388962,SUN,,4.323,1,0,12,2,1,0,0
2474,WISEA J115102.81-280639.0,177.76174,-28.11085,IrS,118765.0,0.396157,SUN,,3.479,1,0,12,2,1,0,0
2477,WISEA J115102.84-281238.6,177.76184,-28.21074,IrS,113083.0,0.377203,SUN,,8.169,1,0,12,2,1,0,0
2484,PLCK G287.0+32.9:[GDW2019] 290,177.76232,-28.12743,G,33755.0,0.112594,SUN,,4.047,1,0,0,1,1,0,0
2488,WISEA J115103.01-280700.4,177.76256,-28.11678,IrS,116963.0,0.390147,SUN,,3.689,1,0,12,2,1,0,0
2491,WISEA J115103.04-280015.5,177.76267,-28.00432,IrS,170010.0,0.567093,SUN,,5.775,1,0,12,2,1,0,0
2492,PLCK G287.0+32.9:[GDW2019] 293,177.76323,-28.23508,G,113680.0,0.379197,SUN,,9.559,1,0,0,1,1,0,0
2500,PLCK G287.0+32.9:[GDW2019] 294,177.76415,-28.19179,G,112890.0,0.376559,SUN,,7.185,1,0,0,1,1,0,0
2507,PLCK G287.0+32.9:[GDW2019] 295,177.76466,-28.15586,G,73341.0,0.244638,SUN,,5.366,1,0,0,1,1,0,0
2512,WISEA J115103.60-281138.5,177.76504,-28.19403,IrS,121452.0,0.405121,SUN,,7.326,1,0,12,2,1,0,0
2513,WISEA J115103.61-281112.4,177.76506,-28.18678,IrS,119587.0,0.398899,SUN,,6.94,1,0,12,2,1,0,0
2516,PLCK G287.0+32.9:[GDW2019] 298,177.76529,-28.17413,G,182041.0,0.607223,SUN,,6.289,1,0,0,1,1,0,0
2522,PLCK G287.0+32.9:[GDW2019] 299,177.76618,-28.17254,G,118967.0,0.39683,SUN,,6.233,1,0,0,1,1,0,0
2543,WISEA J115104.56-280850.1,177.76901,-28.14726,IrS,33645.0,0.112227,SUN,,5.12,1,0,12,2,1,0,0
2544,WISEA J115104.56-281054.3,177.76903,-28.18177,IrS,73270.0,0.244401,SUN,,6.783,1,0,12,2,1,0,0
2556,WISEA J115104.84-281311.2,177.77017,-28.2198,IrS,73088.0,0.243795,SUN,,8.841,1,0,12,2,1,0,0
2563,PLCK G287.0+32.9:[GDW2019] 303,177.77063,-28.18078,G,73112.0,0.243877,SUN,,6.777,1,0,0,1,1,0,0
2566,WISEA J115104.97-280112.6,177.77071,-28.02019,IrS,105174.0,0.350822,SUN,,5.285,1,0,12,2,1,0,0
2568,WISEA J115105.01-280923.5,177.77089,-28.15654,IrS,44671.0,0.149008,SUN,,5.603,1,0,12,2,1,0,0
2570,WISEA J115105.08-281229.6,177.77118,-28.20823,IrS,112181.0,0.374195,SUN,,8.234,1,0,12,2,1,0,0
2574,PLCK G287.0+32.9:[GDW2019] 307,177.77198,-28.18167,G,117367.0,0.391493,SUN,,6.86,1,0,0,1,1,0,0
2579,PLCK G287.0+32.9:[GDW2019] 308,177.77221,-28.20849,G,115132.0,0.384038,SUN,,8.272,1,0,0,1,1,0,0
2581,PLCK G287.0+32.9:[GDW2019] 309,177.77231,-28.17378,G,112780.0,0.376193,SUN,,6.473,1,0,0,1,1,0,0
2582,WISEA J115105.38-281358.7,177.77242,-28.23299,G,119415.0,0.398327,SUN,15.5b,9.616,9,0,35,9,6,2,0
2588,WISEA J115105.64-281259.0,177.77352,-28.21641,IrS,112876.0,0.376515,SUN,,8.729,1,0,17,3,1,0,0
2594,PLCK G287.0+32.9:[GDW2019] 312,177.77446,-28.21416,G,108099.0,0.360579,SUN,,8.629,1,0,0,1,1,0,0
2600,WISEA J115105.97-280311.2,177.77489,-28.05312,IrS,116712.0,0.389309,SUN,,4.257,1,0,12,2,1,0,0
