No.,Object Name,RA,DEC,Type,Velocity,Redshift,Redshift Flag,Magnitude and Filter,Separation,References,Notes,Photometry Points,Positions,Redshift Points,Diameter Points,Associations
1255,SSTSL2 J065729.46-560852.4,104.37278,-56.14791,IrS,104927.0,0.35,PUN,,14.385,1,0,2,2,1,0,0
1257,SSTSL2 J065729.48-560130.1,104.37284,-56.02505,IrS,89938.0,0.3,PUN,,9.381,1,0,8,2,1,0,0
1259,WISEA J065729.58-560732.2,104.37326,-56.12563,IrS,92936.0,0.31,PUN,,13.306,1,0,16,3,1,0,0
1262,WISEA J065729.63-555657.4,104.37347,-55.9493,IrS,89938.0,0.3,PUN,,8.277,1,0,16,3,1,0,0
1266,[FBC2017] J065729.7-554846.7,104.37375,-55.81297,G,104927.0,0.35,PUN,,11.747,1,0,0,1,1,0,0
1275,WISEA J065729.85-560633.1,104.37439,-56.1092,IrS,92936.0,0.31,PUN,,12.524,1,0,12,2,1,0,0
1294,WISEA J065730.27-554330.2,104.37614,-55.72508,IrS,77946.0,0.26,PUN,,15.89,1,0,12,2,1,0,0
1303,[FBC2017] J065730.4-560609.9,104.37667,-56.10275,G,107925.0,0.36,PUN,,12.184,1,0,0,1,1,0,0
1307,[FBC2017] J065730.5-555300.7,104.37708,-55.88353,G,86940.0,0.29,PUN,,9.132,1,0,0,1,1,0,0
1308,SSTSL2 J065730.56-560021.7,104.37735,-56.00605,IrS,89938.0,0.3,PUN,,8.765,1,0,8,2,1,0,0
1314,WISEA J065730.62-555620.9,104.37759,-55.93914,IrS,89938.0,0.3,PUN,,8.174,1,0,12,2,1,0,0
1334,WISEA J065730.96-560022.2,104.37903,-56.00619,IrS,92936.0,0.31,PUN,,8.716,1,0,20,3,1,0,0
1349,SSTSL2 J065731.17-555715.1,104.37991,-55.95422,IrS,110923.0,0.37,PUN,,8.06,1,0,6,2,1,0,0
1357,WISEA J065731.32-560911.4,104.38051,-56.15318,IrS,89938.0,0.3,PUN,,14.5,1,0,12,2,1,0,0
1363,WISEA J065731.36-554818.4,104.38071,-55.80513,IrS,92936.0,0.31,PUN,,11.926,1,0,12,2,1,0,0
1370,WISEA J065731.48-555117.7,104.38118,-55.85493,IrS,86940.0,0.29,PUN,,9.911,1,0,12,2,1,0,0
1371,WISEA J065731.50-554426.9,104.38129,-55.74082,G,54352.0,0.181299,PUN,,14.995,4,0,47,6,1,4,0
1372,SSTSL2 J065731.51-555731.4,104.38132,-55.95872,XrayS,188869.0,0.63,PUN,,8.022,4,0,30,5,1,2,0
1389,SSTSL2 J065731.88-560909.0,104.38286,-56.15251,IrS,104927.0,0.35,PUN,,14.423,1,0,2,2,1,0,0
1390,WISEA J065731.89-560128.7,104.38289,-56.02466,IrS,68952.0,0.23,PUN,,9.073,1,0,20,3,1,0,0
1409,WISEA J065732.41-560113.1,104.38504,-56.02033,IrS,87749.0,0.2927,SUN,,8.887,1,0,20,3,1,0,0
1420,WISEA J065732.59-555425.5,104.38581,-55.90709,IrS,104927.0,0.35,PUN,,8.311,1,0,12,2,1,0,0
1442,WISEA J065732.97-554722.9,104.38738,-55.78971,IrS,83942.0,0.28,PUN,,12.484,1,0,12,2,1,0,0
1465,WISEA J065733.22-554531.7,104.38845,-55.75881,IrS,101929.0,0.34,PUN,,13.958,1,0,12,2,1,0,0
1472,[FBC2017] J065733.3-554609.8,104.38875,-55.76939,G,110923.0,0.37,PUN,,13.43,1,0,0,1,1,0,0
1484,SSTSL2 J065733.40-560503.7,104.3892,-56.08437,IrS,86940.0,0.29,PUN,,11.093,1,0,4,2,1,0,0
1489,[FBC2017] J065733.5-554710.6,104.38958,-55.78628,G,83942.0,0.28,PUN,,12.599,1,0,0,1,1,0,0
1493,[FBC2017] J065733.6-554817.5,104.39,-55.80486,G,92936.0,0.31,PUN,,11.73,1,0,0,1,1,0,0
1510,[FBC2017] J065733.9-554815.5,104.39125,-55.80431,G,86940.0,0.29,PUN,,11.727,1,0,0,1,1,0,0
1511,[FBC2017] J065733.9-554627.3,104.39125,-55.77425,G,74948.0,0.25,PUN,,13.143,1,0,0,1,1,0,0
1518,WISEA J065734.13-555904.8,104.39223,-55.98467,IrS,87899.0,0.2932,SUN,,7.892,1,0,22,3,1,0,0
1525,WISEA J065734.22-554906.1,104.39259,-55.81837,IrS,86940.0,0.29,PUN,,11.072,1,0,12,2,1,0,0
1532,[FBC2017] J065734.3-561054.8,104.39292,-56.18189,G,101929.0,0.34,PUN,,15.757,1,0,0,1,1,0,0
1535,WISEA J065734.34-560656.4,104.39312,-56.11569,IrS,83942.0,0.28,PUN,,12.426,1,0,12,2,1,0,0
1540,SSTSL2 J065734.41-560948.3,104.39341,-56.16342,IrS,89938.0,0.3,PUN,,14.789,1,0,2,2,1,0,0
1544,SSTSL2 J065734.45-555514.6,104.39357,-55.92074,IrS,89938.0,0.3,PUN,,7.829,1,0,8,2,1,0,0
1561,WISEA J065734.67-560211.9,104.39447,-56.03665,IrS,113921.0,0.38,PUN,,9.115,1,0,20,3,1,0,0
1569,WISEA J065734.87-554540.1,104.39531,-55.76116,IrS,83942.0,0.28,PUN,,13.713,1,0,12,2,1,0,0
1577,WISEA J065735.04-560234.6,104.39602,-56.04297,IrS,95934.0,0.32,PUN,,9.289,1,0,20,3,1,0,0
1581,SSTSL2 J065735.08-555711.9,104.39618,-55.95331,IrS,98932.0,0.33,PUN,,7.513,1,0,8,2,1,0,0
1587,WISEA J065735.16-560253.0,104.39652,-56.04807,IrS,104927.0,0.35,PUN,,9.459,1,0,12,2,1,0,0
1588,SSTSL2 J065735.18-555652.1,104.39659,-55.94782,IrS,98932.0,0.33,PUN,,7.503,1,0,8,2,1,0,0
1613,WISEA J065735.49-555642.8,104.39789,-55.94522,IrS,86940.0,0.29,PUN,,7.466,1,0,20,3,1,0,0
1625,[FBC2017] J065735.7-555035.0,104.39875,-55.84306,G,95934.0,0.32,PUN,,9.894,1,0,0,1,1,0,0
1627,SSTSL2 J065735.73-560301.2,104.39889,-56.05034,IrS,80944.0,0.27,PUN,,9.48,1,0,7,2,1,0,0
1633,WISEA J065735.84-554635.7,104.39937,-55.77658,IrS,92936.0,0.31,PUN,,12.87,1,0,12,2,1,0,0
1645,WISEA J065735.97-554810.2,104.39989,-55.80285,IrS,89938.0,0.3,PUN,,11.606,1,0,12,2,1,0,0
1653,WISEA J065736.09-554320.5,104.40039,-55.72238,IrS,110923.0,0.37,PUN,,15.627,1,0,12,2,1,0,0
1670,[FBC2017] J065736.3-560650.5,104.40125,-56.11403,G,77946.0,0.26,PUN,,12.182,1,0,0,1,1,0,0
1690,SSTSL2 J065736.59-555632.8,104.40249,-55.94246,IrS,110923.0,0.37,PUN,,7.323,1,0,8,2,1,0,0
1698,WISEA J065736.71-555217.7,104.40299,-55.87161,IrS,89548.0,0.2987,SUN,,8.737,1,0,20,3,1,0,0
1711,WISEA J065736.87-555545.4,104.40364,-55.92929,IrS,98932.0,0.33,PUN,,7.389,1,0,20,3,1,0,0
1712,WISEA J065736.88-560247.9,104.40369,-56.04665,IrS,89998.0,0.3002,SUN,,9.217,1,0,26,4,1,0,0
1716,SSTSL2 J065736.94-560222.8,104.40394,-56.03967,IrS,86940.0,0.29,PUN,,8.958,1,0,8,2,1,0,0
1728,[FBC2017] J065737.1-554300.2,104.40458,-55.71672,G,77946.0,0.26,PUN,,15.861,1,0,0,1,1,0,0
1739,SSTSL2 J065737.20-555621.7,104.40503,-55.93936,IrS,95934.0,0.32,PUN,,7.255,1,0,8,2,1,0,0
1768,[FBC2017] J065737.6-555053.4,104.40667,-55.84817,G,95934.0,0.32,PUN,,9.492,1,0,0,1,1,0,0
1774,WISEA J065737.70-555719.0,104.40712,-55.9553,IrS,89938.0,0.3,PUN,,7.148,1,0,22,3,1,0,0
1779,SSTSL2 J065737.76-560224.1,104.40734,-56.04005,IrS,116919.0,0.39,PUN,,8.88,1,0,8,2,1,0,0
1784,[FBC2017] J065737.8-561006.8,104.4075,-56.16856,G,113921.0,0.38,PUN,,14.822,1,0,0,1,1,0,0
1785,WISEA J065737.86-560129.9,104.40751,-56.02503,IrS,101929.0,0.34,PUN,,8.37,1,0,20,3,1,0,0
1790,WISEA J065737.85-555442.8,104.40773,-55.9119,IrS,92936.0,0.31,PUN,,7.52,1,0,20,3,1,0,0
1809,WISEA J065738.01-554813.9,104.40838,-55.80386,IrS,71950.0,0.24,PUN,,11.378,1,0,12,2,1,0,0
1814,[FBC2017] J065738.1-554436.3,104.40875,-55.74342,G,83942.0,0.28,PUN,,14.384,1,0,0,1,1,0,0
1822,WISEA J065738.19-560026.6,104.40916,-56.00741,IrS,110923.0,0.37,PUN,,7.818,1,0,22,3,1,0,0
1840,SSTSL2 J065738.34-555518.8,104.40979,-55.92189,IrS,98932.0,0.33,PUN,,7.283,1,0,8,2,1,0,0
1845,[FBC2017] J065738.4-554545.9,104.41,-55.76275,G,77946.0,0.26,PUN,,13.365,1,0,0,1,1,0,0
1849,SSTSL2 J065738.43-560329.7,104.41013,-56.05828,IrS,87629.0,0.2923,SUN,,9.501,1,0,2,2,1,0,0
1904,[FBC2017] J065739.0-560645.4,104.4125,-56.11261,G,89938.0,0.3,PUN,,11.89,1,0,0,1,1,0,0
1912,WISEA J065739.12-555610.0,104.41301,-55.93612,IrS,68952.0,0.23,PUN,,7.012,1,0,20,3,1,0,0
1943,WISEA J065739.65-560709.9,104.41521,-56.11942,IrS,92936.0,0.31,PUN,,12.172,1,0,16,3,1,0,0
1945,WISEA J065739.65-554811.1,104.41522,-55.80311,IrS,83942.0,0.28,PUN,,11.271,1,0,12,2,1,0,0
1948,[FBC2017] J065739.7-554257.0,104.41542,-55.71583,G,74948.0,0.25,PUN,,15.746,1,0,0,1,1,0,0
1951,WISEA J065739.74-554856.7,104.41559,-55.81576,IrS,116919.0,0.39,PUN,,10.672,1,0,12,2,1,0,0
1958,WISEA J065739.79-560320.6,104.41582,-56.05575,IrS,89938.0,0.3,PUN,,9.258,1,0,19,3,1,0,0
1975,WISEA J065739.89-555549.0,104.41623,-55.93029,IrS,95934.0,0.32,PUN,,6.962,1,0,20,3,1,0,0
1996,WISEA J065740.11-554644.0,104.41713,-55.77891,IrS,83942.0,0.28,PUN,,12.418,1,0,12,2,1,0,0
1997,SSTSL2 J065740.13-560402.0,104.41725,-56.06722,IrS,87779.0,0.2928,SUN,,9.701,1,0,4,2,1,0,0
2003,[FBC2017] J065740.2-554732.8,104.4175,-55.79244,G,83942.0,0.28,PUN,,11.74,1,0,0,1,1,0,0
2006,WISEA J065740.22-560702.0,104.41759,-56.11725,IrS,92936.0,0.31,PUN,,12.019,1,0,14,3,1,0,0
2011,[FBC2017] J065740.3-554304.6,104.41792,-55.71794,G,92936.0,0.31,PUN,,15.595,1,0,0,1,1,0,0
2018,WISEA J065740.38-560146.7,104.41826,-56.02976,IrS,98932.0,0.33,PUN,,8.223,1,0,20,3,1,0,0
2034,SSTSL2 J065740.54-560852.1,104.41894,-56.14782,IrS,80944.0,0.27,PUN,,13.55,1,0,2,2,1,0,0
2039,WISEA J065740.61-554943.5,104.41922,-55.82876,IrS,83942.0,0.28,PUN,,10.004,1,0,12,2,1,0,0
2052,[FBC2017] J065740.8-560036.5,104.42,-56.01014,G,80944.0,0.27,PUN,,7.565,1,0,0,1,1,0,0
2073,WISEA J065740.90-555501.1,104.42043,-55.91697,IrS,87749.0,0.2927,SUN,,7.02,1,0,20,3,1,0,0
2076,WISEA J065740.95-560757.4,104.42066,-56.13262,IrS,89938.0,0.3,PUN,,12.737,1,0,16,3,1,0,0
2095,SSTSL2 J065741.17-555933.7,104.42158,-55.99271,IrS,116919.0,0.39,PUN,,7.094,1,0,10,2,1,0,0
2103,SSTSL2 J065741.26-560852.8,104.42196,-56.14802,IrS,98932.0,0.33,PUN,,13.51,1,0,4,2,1,0,0
2105,WISEA J065741.29-554703.6,104.42205,-55.78436,IrS,89938.0,0.3,PUN,,12.054,1,0,12,2,1,0,0
2107,SSTSL2 J065741.31-555832.9,104.42214,-55.97581,IrS,89938.0,0.3,PUN,,6.793,1,0,8,2,1,0,0
2119,WISEA J065741.40-555418.5,104.42253,-55.90515,IrS,89938.0,0.3,PUN,,7.199,1,0,19,3,1,0,0
2120,SSTSL2 J065741.42-560808.2,104.42262,-56.13564,IrS,83942.0,0.28,PUN,,12.857,1,0,4,2,1,0,0
2126,SSTSL2 J065741.47-555825.4,104.42281,-55.97373,IrS,104927.0,0.35,PUN,,6.745,1,0,10,2,1,0,0
2151,[FBC2017] J065741.7-554553.2,104.42375,-55.76478,G,89938.0,0.3,PUN,,13.021,1,0,0,1,1,0,0
2160,WISEA J065741.97-554814.1,104.42411,-55.80407,IrS,89938.0,0.3,PUN,,11.045,1,0,17,3,1,0,0
2188,[FBC2017] J065742.0-560938.1,104.425,-56.16058,G,95934.0,0.32,PUN,,14.124,1,0,0,1,1,0,0
2189,[FBC2017] J065742.0-560703.1,104.425,-56.11753,G,98932.0,0.33,PUN,,11.895,1,0,0,1,1,0,0
2190,SSTSL2 J065742.00-555453.8,104.42504,-55.91497,IrS,101929.0,0.34,PUN,,6.91,1,0,7,2,1,0,0
2203,WISEA J065742.08-560851.3,104.42536,-56.14761,IrS,86940.0,0.29,PUN,,13.433,1,0,16,3,1,0,0
2205,[FBC2017] J065742.1-561015.8,104.42542,-56.17106,G,80944.0,0.27,PUN,,14.677,1,0,0,1,1,0,0
2207,WISEA J065742.14-560646.4,104.42558,-56.11289,IrS,116919.0,0.39,PUN,,11.653,1,0,16,3,1,0,0
