No.,Object Name,RA,DEC,Type,Velocity,Redshift,Redshift Flag,Magnitude and Filter,Separation,References,Notes,Photometry Points,Positions,Redshift Points,Diameter Points,Associations
5466,WISEA J201354.16-565955.3,303.47571,-56.9986,G,15520.0,0.05177,SLS,19.1V,14.385,7,0,12,6,3,0,0
5478,WISEA J201354.50-565820.1,303.47708,-56.9721,G,14006.0,0.04672,SLS,18.8V,13.419,6,0,12,6,2,0,0
5503,WISEA J201355.48-565117.1,303.48118,-56.85475,G,15148.0,0.050528,UUN,16.3V,10.975,11,0,45,8,4,2,0
5521,WISEA J201356.33-565623.5,303.48472,-56.93988,G,61305.0,0.20449,SLS,19.5V,12.589,5,0,12,4,1,0,0
5523,WINGS J201356.39-565439.0,303.48492,-56.91081,G,21273.0,0.07096,SLS,19.8V,11.859,6,0,0,5,2,0,0
5558,WISEA J201358.25-565451.2,303.49271,-56.91423,G,16375.0,0.05462,SLS,16.5V,12.172,14,0,19,8,6,0,0
5568,[OCN2009] J201358.56-565728.1,303.494,-56.95783,*,60.0,0.0002,SLS,17.6r,13.395,2,0,0,1,1,0,0
5581,2MASX J20135898-5657430,303.49573,-56.96182,G,13260.0,0.044231,SUN,15.9V,13.571,11,0,16,5,3,2,0
5593,WISEA J201359.26-565707.0,303.49694,-56.95195,*,12.0,4e-05,SLS,17.9r,13.294,2,0,12,2,1,0,0
5599,WISEA J201359.61-565122.5,303.49817,-56.85611,G,16132.0,0.05381,SLS,19.7V,11.538,6,0,12,6,2,0,0
5601,SC 2008-565:[PMS88] 089,303.49917,-56.95806,G,13260.0,0.044231,SUN,16.84,13.546,2,0,0,1,1,0,0
5631,WISEA J201401.19-564923.7,303.50496,-56.82326,G,80854.0,0.2697,PUN,19.8V,11.758,5,0,31,7,1,0,0
5632,ABELL 3667:[SCS92] 161,303.50531,-56.86081,G,17245.0,0.057523,SUN,16.68,11.798,1,0,0,1,1,0,0
5637,WISEA J201401.63-565809.8,303.50681,-56.9694,G,16669.0,0.055602,UUN,16.4V,14.123,14,0,28,7,4,2,0
5641,WISEA J201401.70-564223.1,303.5071,-56.70644,*,141.0,0.00047,SLS,18.0r,14.237,2,0,12,2,1,0,0
5652,WISEA J201402.01-565335.9,303.5084,-56.89332,G,37870.0,0.12632,SLS,18.0V,12.263,5,0,18,5,1,0,0
5653,WINGS J201402.04-564359.8,303.50855,-56.7333,G,48689.0,0.16241,SLS,19.3V,13.442,5,0,0,3,1,0,0
5667,WINGS J201402.64-565523.4,303.51111,-56.92316,G,15736.0,0.05249,SLS,19.4V,12.933,3,0,0,2,1,0,0
5672,WISEA J201402.83-564459.6,303.51183,-56.74986,*,3.0,1e-05,SLS,18.5r,13.099,2,0,12,2,1,0,0
5747,WISEA J201407.23-565758.2,303.52972,-56.96592,G,16887.0,0.05633,SLS,19.1V,14.645,7,0,12,6,3,0,0
5758,[OCN2009] J201407.96-564344.7,303.53317,-56.72911,*,45.0,0.00015,SLS,18.1r,14.275,2,0,0,1,1,0,0
5785,WISEA J201409.49-565247.4,303.53946,-56.87987,G,17214.0,0.05742,SLS,19.5V,13.075,6,0,12,6,2,0,0
5796,WISEA J201410.11-565657.6,303.54224,-56.94934,G,61104.0,0.20382,SLS,19.2V,14.519,6,0,12,5,2,0,0
5811,WISEA J201411.34-564853.2,303.54737,-56.81475,*,18.0,6e-05,SLS,18.7r,13.194,2,0,12,2,1,0,0
5833,WISEA J201412.62-564640.1,303.5526,-56.77783,*,24.0,8e-05,SLS,17.7r,13.789,2,0,12,2,1,0,0
5851,WISEA J201414.13-564746.1,303.55896,-56.79614,*,78.0,0.00026,SLS,17.9r,13.74,2,0,12,2,1,0,0
5859,WISEA J201414.36-565321.1,303.55987,-56.8892,G,50050.0,0.16695,SLS,18.9r,13.842,2,0,12,2,1,0,0
5867,WISEA J201414.76-565022.5,303.56146,-56.83952,G,16869.0,0.05627,SLS,19.2V,13.572,7,0,12,6,3,0,0
